dt,A_AVG,A_NUM_PTS,A_QUAL_FLAG,B_AVG,B_NUM_PTS,B_QUAL_FLAG
2015-03-11 04:31:00,2.36753994187e-09,29.0,0.0,5.33712011475e-07,29.0,0.0
2015-03-11 04:32:00,1.81297998836e-09,30.0,0.0,5.31218006472e-07,30.0,0.0
2015-03-11 04:33:00,5.82930015369e-09,29.0,0.0,5.48817979507e-07,29.0,0.0
2015-03-11 04:34:00,7.02062008529e-09,29.0,0.0,5.62296008866e-07,29.0,0.0
2015-03-11 04:35:00,6.72855993145e-09,30.0,0.0,5.77038008487e-07,30.0,0.0
2015-03-11 04:36:00,5.29129007276e-09,29.0,0.0,5.79934976486e-07,29.0,0.0
2015-03-11 04:37:00,4.11764000674e-09,29.0,0.0,5.7396499642e-07,29.0,0.0
2015-03-11 04:38:00,2.59609000963e-09,30.0,0.0,5.65408015518e-07,30.0,0.0
2015-03-11 04:39:00,2.65730992766e-09,29.0,0.0,5.61392027976e-07,29.0,0.0
2015-03-11 04:40:00,2.17848006301e-09,29.0,0.0,5.60035005037e-07,29.0,0.0
2015-03-11 04:41:00,4.83013007369e-09,29.0,0.0,5.79120978728e-07,29.0,0.0
